A̱o,Trimestre,Banda ancha fija,Dial up,Total,Periodo
2014,1,6,36,6,2014 -T1
2014,2,6,36,6,2014 -T2
2014,3,7,36,7,2014 -T3
2014,4,7,39,7,2014 -T4
2015,1,7,38,7,2015 -T1
2015,2,7,33,7,2015 -T2
2015,3,7,33,7,2015 -T3
2015,4,7,33,7,2015 -T4
2016,1,7,33,7,2016 -T1
2016,2,7,32,7,2016 -T2
2016,3,7,29,7,2016 -T3
2016,4,7,29,7,2016 -T4
2017,1,7,29,7,2017 -T1
2017,2,7,29,7,2017 -T2
2017,3,8,28,8,2017 -T3
2017,4,8,27,8,2017 -T4
2018,1,8,27,8,2018 -T1
2018,2,8,27,8,2018 -T2
2018,3,8,27,8,2018 -T3
2018,4,8,22,8,2018 -T4
2019,1,9,22,9,2019 -T1
2019,2,9,22,9,2019 -T2
2019,3,9,22,9,2019 -T3
2019,4,9,10,9,2019 -T4
2020,1,9,10,9,2020 -T1
2020,2,9,10,9,2020 -T2
2020,3,9,10,9,2020 -T3
2020,4,10,10,10,2020 -T4
2021,1,10,10,10,2021 -T1
2021,2,10,10,10,2021 -T2
2021,3,10,10,10,2021 -T3
2021,4,10,13,10,2021 -T4
2022,1,11,13,11,2022 -T1
2022,2,11,12,11,2022 -T2
2022,3,11,12,11,2022 -T3
2022,4,11,12,11,2022 -T4
